lat,lon,station_id,color,station_name,date,Параметр,"Қауіпті деңгей, см","Нақты деңгей, см","Нақты шығын, м³/с","Судың температурасы,°C",Су объектінің күй коды,param
53.9847,68.2305,11282,lightblue,Қамысақты өзені – Ясновка ауылы,2026-03-25,Мәні,740,498,NA,NA,565 665,level
53.0995,69.0123,11291,lightblue,Шағалалы өзені – Павловка ауылы,2026-03-25,Мәні,300,109,0.045,0.2,538 542,level
53.6927,69.623,11293,lightblue,Шағалалы өзені – Северное ауылы,2026-03-25,Мәні,400,166,NA,NA,565 538,level
50.6197,73.0279,11395,lightblue,Есіл өзені – Приишимское ауылы,2026-03-25,Мәні,385,148,0.109,NA,565,level
50.7534,72.3393,11397,lightblue,Есіл өзені – Түрген ауылы,2026-03-25,Мәні,650,156,0.23,NA,565,level
51.1577,71.4146,11398,lightblue,Есіл өзені – Астана қ.,2026-03-25,Мәні,750,662,,NA,565,level
52.0204,66.2673,11404,lightblue,Есіл өзені – Каменный карьер ауылы,2026-03-25,Мәні,970,168,4.76,NA,565,level
52.9626,66.6271,11405,lightblue,Есіл өзені – Тоқсан би ауылы,2026-03-25,Мәні,1800,281,16.5,NA,564,level
53.8724,67.4301,11407,lightblue,Сергеевск су қоймасы (Есіл өзені) – Сергеевка ауылы,2026-03-25,Мәні,NA,773,,0,565,level
53.8786,67.4318,11408,lightblue,Есіл өзені – Сергеевка қ.,2026-03-25,Мәні,1250,219,,0,563,level
54.2919,68.3357,11409,lightblue,Есіл өзені – Покровка ауылы (Явленка ауылы),2026-03-25,Мәні,1300,152,13.8,NA,565,level
54.9142,69.125,11410,lightblue,Есіл өзені – Петропавловск қ.,2026-03-25,Мәні,960,255,15.7,NA,563,level
51.0988,71.4913,11411,lightblue,Есіл өзені – Тельман ауылы,2026-03-25,Мәні,790,622,,NA,565 678,level
51.1737,71.343,11413,lightblue,Есіл өзені – Көктал ауылы,2026-03-25,Мәні,665,211,,0,546,level
51.3075,70.7334,11414,lightblue,Есіл өзені – Новоишимка ауылы,2026-03-25,Мәні,800,495,7.31,NA,565,level
50.8428,72.1835,11415,lightblue,Есіл өзені – Аршалы ауылы,2026-03-25,Мәні,470,178,0.98,0.2,564,level
53.4299,67.0627,11416,lightblue,Есіл өзені – Крещенка ауылы,2026-03-25,Мәні,1900,773,,NA,565 537,level
51.0896,72.4422,11421,lightblue,Мойылды өзені – Николаевка ауылы,2026-03-25,Мәні,550,148,0.299,NA,565,level
51.7865,69.4628,11424,lightblue,Қалқұтан өзені – Қалқұтан ауылы,2026-03-25,Мәні,670,257,1.2,0.1,564,level
51.6591,70.694,11425,lightblue,Қалқұтан өзені – Новокубанка ауылы,2026-03-25,Мәні,1350,530,NA,NA,565 665,level
51.2622,67.2075,11426,lightblue,Терісаққан өзені – Терісаққан ауылы,2026-03-25,Мәні,885,677,,NA,565,level
